Number	Type	Description
AC_joint	A	Integer	Alternate allele count in joint dataset
AN_joint	1	Integer	Total number of alleles in joint dataset
AF_joint	A	Float	Alternate allele frequency in joint dataset
grpmax_joint	A	String	Genetic ancestry group with the maximum allele frequency in joint dataset
fafmax_faf95_max_joint	A	Float	Maximum filtering allele frequency (using Poisson 95% CI) across genetic ancestry groups in joint dataset
fafmax_faf95_max_gen_anc_joint	A	String	Genetic ancestry group with maximum filtering allele frequency (using Poisson 95% CI) in joint dataset
AC_exomes	A	Integer	Alternate allele count in exomes dataset
AN_exomes	1	Integer	Total number of alleles in exomes dataset
AF_exomes	A	Float	Alternate allele frequency in exomes dataset
grpmax_exomes	A	String	Genetic ancestry group with the maximum allele frequency in exomes dataset
fafmax_faf95_max_exomes	A	Float	Maximum filtering allele frequency (using Poisson 95% CI) across genetic ancestry groups in exomes dataset
fafmax_faf95_max_gen_anc_exomes	A	String	Genetic ancestry group with maximum filtering allele frequency (using Poisson 95% CI) in exomes dataset
exomes_filters	.	String	Filters' values from the exomes dataset.
AC_genomes	A	Integer	Alternate allele count in genomes dataset
AN_genomes	1	Integer	Total number of alleles in genomes dataset
AF_genomes	A	Float	Alternate allele frequency in genomes dataset
grpmax_genomes	A	String	Genetic ancestry group with the maximum allele frequency in genomes dataset
fafmax_faf95_max_genomes	A	Float	Maximum filtering allele frequency (using Poisson 95% CI) across genetic ancestry groups in genomes dataset
fafmax_faf95_max_gen_anc_genomes	A	String	Genetic ancestry group with maximum filtering allele frequency (using Poisson 95% CI) in genomes dataset
genomes_filters	.	String	Filters' values from the genomes dataset.
AC_joint_XX	A	Integer	Alternate allele count for XX samples in joint dataset
AF_joint_XX	A	Float	Alternate allele frequency in XX samples in joint dataset
AN_joint_XX	1	Integer	Total number of alleles in XX samples in joint dataset
nhomalt_joint_XX	A	Integer	Count of homozygous individuals in XX samples in joint dataset
AC_joint_XY	A	Integer	Alternate allele count for XY samples in joint dataset
AF_joint_XY	A	Float	Alternate allele frequency in XY samples in joint dataset
AN_joint_XY	1	Integer	Total number of alleles in XY samples in joint dataset
nhomalt_joint_XY	A	Integer	Count of homozygous individuals in XY samples in joint dataset
nhomalt_joint	A	Integer	Count of homozygous individuals in joint dataset
AC_joint_afr_XX	A	Integer	Alternate allele count for XX samples in the African/African-American genetic ancestry group in joint dataset
AF_joint_afr_XX	A	Float	Alternate allele frequency in XX samples in the African/African-American genetic ancestry group in joint dataset
AN_joint_afr_XX	1	Integer	Total number of alleles in XX samples in the African/African-American genetic ancestry group in joint dataset
nhomalt_joint_afr_XX	A	Integer	Count of homozygous individuals in XX samples in the African/African-American genetic ancestry group in joint dataset
AC_joint_afr_XY	A	Integer	Alternate allele count for XY samples in the African/African-American genetic ancestry group in joint dataset
AF_joint_afr_XY	A	Float	Alternate allele frequency in XY samples in the African/African-American genetic ancestry group in joint dataset
AN_joint_afr_XY	1	Integer	Total number of alleles in XY samples in the African/African-American genetic ancestry group in joint dataset
nhomalt_joint_afr_XY	A	Integer	Count of homozygous individuals in XY samples in the African/African-American genetic ancestry group in joint dataset
AC_joint_afr	A	Integer	Alternate allele count for samples in the African/African-American genetic ancestry group in joint dataset
AF_joint_afr	A	Float	Alternate allele frequency in samples in the African/African-American genetic ancestry group in joint dataset
AN_joint_afr	1	Integer	Total number of alleles in samples in the African/African-American genetic ancestry group in joint dataset
nhomalt_joint_afr	A	Integer	Count of homozygous individuals in samples in the African/African-American genetic ancestry group in joint dataset
AC_joint_ami_XX	A	Integer	Alternate allele count for XX samples in the Amish genetic ancestry group in joint dataset
AF_joint_ami_XX	A	Float	Alternate allele frequency in XX samples in the Amish genetic ancestry group in joint dataset
AN_joint_ami_XX	1	Integer	Total number of alleles in XX samples in the Amish genetic ancestry group in joint dataset
nhomalt_joint_ami_XX	A	Integer	Count of homozygous individuals in XX samples in the Amish genetic ancestry group in joint dataset
AC_joint_ami_XY	A	Integer	Alternate allele count for XY samples in the Amish genetic ancestry group in joint dataset
AF_joint_ami_XY	A	Float	Alternate allele frequency in XY samples in the Amish genetic ancestry group in joint dataset
AN_joint_ami_XY	1	Integer	Total number of alleles in XY samples in the Amish genetic ancestry group in joint dataset
nhomalt_joint_ami_XY	A	Integer	Count of homozygous individuals in XY samples in the Amish genetic ancestry group in joint dataset
AC_joint_ami	A	Integer	Alternate allele count for samples in the Amish genetic ancestry group in joint dataset
AF_joint_ami	A	Float	Alternate allele frequency in samples in the Amish genetic ancestry group in joint dataset
AN_joint_ami	1	Integer	Total number of alleles in samples in the Amish genetic ancestry group in joint dataset
nhomalt_joint_ami	A	Integer	Count of homozygous individuals in samples in the Amish genetic ancestry group in joint dataset
AC_joint_amr_XX	A	Integer	Alternate allele count for XX samples in the Admixed American genetic ancestry group in joint dataset
AF_joint_amr_XX	A	Float	Alternate allele frequency in XX samples in the Admixed American genetic ancestry group in joint dataset
AN_joint_amr_XX	1	Integer	Total number of alleles in XX samples in the Admixed American genetic ancestry group in joint dataset
nhomalt_joint_amr_XX	A	Integer	Count of homozygous individuals in XX samples in the Admixed American genetic ancestry group in joint dataset
AC_joint_amr_XY	A	Integer	Alternate allele count for XY samples in the Admixed American genetic ancestry group in joint dataset
AF_joint_amr_XY	A	Float	Alternate allele frequency in XY samples in the Admixed American genetic ancestry group in joint dataset
AN_joint_amr_XY	1	Integer	Total number of alleles in XY samples in the Admixed American genetic ancestry group in joint dataset
nhomalt_joint_amr_XY	A	Integer	Count of homozygous individuals in XY samples in the Admixed American genetic ancestry group in joint dataset
AC_joint_amr	A	Integer	Alternate allele count for samples in the Admixed American genetic ancestry group in joint dataset
AF_joint_amr	A	Float	Alternate allele frequency in samples in the Admixed American genetic ancestry group in joint dataset
AN_joint_amr	1	Integer	Total number of alleles in samples in the Admixed American genetic ancestry group in joint dataset
nhomalt_joint_amr	A	Integer	Count of homozygous individuals in samples in the Admixed American genetic ancestry group in joint dataset
AC_joint_asj_XX	A	Integer	Alternate allele count for XX samples in the Ashkenazi Jewish genetic ancestry group in joint dataset
AF_joint_asj_XX	A	Float	Alternate allele frequency in XX samples in the Ashkenazi Jewish genetic ancestry group in joint dataset
AN_joint_asj_XX	1	Integer	Total number of alleles in XX samples in the Ashkenazi Jewish genetic ancestry group in joint dataset
nhomalt_joint_asj_XX	A	Integer	Count of homozygous individuals in XX samples in the Ashkenazi Jewish genetic ancestry group in joint dataset
AC_joint_asj_XY	A	Integer	Alternate allele count for XY samples in the Ashkenazi Jewish genetic ancestry group in joint dataset
AF_joint_asj_XY	A	Float	Alternate allele frequency in XY samples in the Ashkenazi Jewish genetic ancestry group in joint dataset
AN_joint_asj_XY	1	Integer	Total number of alleles in XY samples in the Ashkenazi Jewish genetic ancestry group in joint dataset
nhomalt_joint_asj_XY	A	Integer	Count of homozygous individuals in XY samples in the Ashkenazi Jewish genetic ancestry group in joint dataset
AC_joint_asj	A	Integer	Alternate allele count for samples in the Ashkenazi Jewish genetic ancestry group in joint dataset
AF_joint_asj	A	Float	Alternate allele frequency in samples in the Ashkenazi Jewish genetic ancestry group in joint dataset
AN_joint_asj	1	Integer	Total number of alleles in samples in the Ashkenazi Jewish genetic ancestry group in joint dataset
nhomalt_joint_asj	A	Integer	Count of homozygous individuals in samples in the Ashkenazi Jewish genetic ancestry group in joint dataset
AC_joint_eas_XX	A	Integer	Alternate allele count for XX samples in the East Asian genetic ancestry group in joint dataset
AF_joint_eas_XX	A	Float	Alternate allele frequency in XX samples in the East Asian genetic ancestry group in joint dataset
AN_joint_eas_XX	1	Integer	Total number of alleles in XX samples in the East Asian genetic ancestry group in joint dataset
nhomalt_joint_eas_XX	A	Integer	Count of homozygous individuals in XX samples in the East Asian genetic ancestry group in joint dataset
AC_joint_eas_XY	A	Integer	Alternate allele count for XY samples in the East Asian genetic ancestry group in joint dataset
AF_joint_eas_XY	A	Float	Alternate allele frequency in XY samples in the East Asian genetic ancestry group in joint dataset
AN_joint_eas_XY	1	Integer	Total number of alleles in XY samples in the East Asian genetic ancestry group in joint dataset
nhomalt_joint_eas_XY	A	Integer	Count of homozygous individuals in XY samples in the East Asian genetic ancestry group in joint dataset
AC_joint_eas	A	Integer	Alternate allele count for samples in the East Asian genetic ancestry group in joint dataset
AF_joint_eas	A	Float	Alternate allele frequency in samples in the East Asian genetic ancestry group in joint dataset
AN_joint_eas	1	Integer	Total number of alleles in samples in the East Asian genetic ancestry group in joint dataset
nhomalt_joint_eas	A	Integer	Count of homozygous individuals in samples in the East Asian genetic ancestry group in joint dataset
AC_joint_fin_XX	A	Integer	Alternate allele count for XX samples in the Finnish genetic ancestry group in joint dataset
AF_joint_fin_XX	A	Float	Alternate allele frequency in XX samples in the Finnish genetic ancestry group in joint dataset
AN_joint_fin_XX	1	Integer	Total number of alleles in XX samples in the Finnish genetic ancestry group in joint dataset
nhomalt_joint_fin_XX	A	Integer	Count of homozygous individuals in XX samples in the Finnish genetic ancestry group in joint dataset
AC_joint_fin_XY	A	Integer	Alternate allele count for XY samples in the Finnish genetic ancestry group in joint dataset
AF_joint_fin_XY	A	Float	Alternate allele frequency in XY samples in the Finnish genetic ancestry group in joint dataset
AN_joint_fin_XY	1	Integer	Total number of alleles in XY samples in the Finnish genetic ancestry group in joint dataset
nhomalt_joint_fin_XY	A	Integer	Count of homozygous individuals in XY samples in the Finnish genetic ancestry group in joint dataset
AC_joint_fin	A	Integer	Alternate allele count for samples in the Finnish genetic ancestry group in joint dataset
AF_joint_fin	A	Float	Alternate allele frequency in samples in the Finnish genetic ancestry group in joint dataset
AN_joint_fin	1	Integer	Total number of alleles in samples in the Finnish genetic ancestry group in joint dataset
nhomalt_joint_fin	A	Integer	Count of homozygous individuals in samples in the Finnish genetic ancestry group in joint dataset
AC_joint_mid_XX	A	Integer	Alternate allele count for XX samples in the Middle Eastern genetic ancestry group in joint dataset
AF_joint_mid_XX	A	Float	Alternate allele frequency in XX samples in the Middle Eastern genetic ancestry group in joint dataset
AN_joint_mid_XX	1	Integer	Total number of alleles in XX samples in the Middle Eastern genetic ancestry group in joint dataset
nhomalt_joint_mid_XX	A	Integer	Count of homozygous individuals in XX samples in the Middle Eastern genetic ancestry group in joint dataset
AC_joint_mid_XY	A	Integer	Alternate allele count for XY samples in the Middle Eastern genetic ancestry group in joint dataset
AF_joint_mid_XY	A	Float	Alternate allele frequency in XY samples in the Middle Eastern genetic ancestry group in joint dataset
AN_joint_mid_XY	1	Integer	Total number of alleles in XY samples in the Middle Eastern genetic ancestry group in joint dataset
